mz,rt,t.score,p.value,mode
214.04841,7.552,0.19,0.999999992615777,negative
187.65692,1.626,-0.32,0.999999992686416,negative
220.06491,12.617,-0.19,0.999999993932542,negative
129.09188,1.213,0.18,0.999999994100591,negative
197.00006,5.799,0.49,0.999999994481421,negative
118.94177,14.823,-0.1,0.99999999494691,negative
110.9697,15.289,-0.16,0.999999995126378,negative
111.0085,1.22,0.18,0.999999995889736,negative
110.98504,12.897,0.25,0.999999996137532,negative
89.02534,21.977,0.46,0.999999996214893,negative
129.01912,1.246,-0.46,0.99999999622165,negative
152.04314,15.247,-0.54,0.999999996244925,negative
295.99051,14.961,0.84,0.999999996260748,negative
163.02477,13.652,0.43,0.999999996700015,negative
171.00641,12.81,0.25,0.999999996784486,negative
187.00039,20.458,-1.37,0.999999996836484,negative
195.01364,11.972,0.25,0.999999996852742,negative
295.99074,25.898,1.09,0.999999996877658,negative
125.0007,12.71,0.25,0.999999996925619,negative
136.99123,15.89,0.18,0.999999996946179,negative
192.33159,4.822,0.52,0.999999997048736,negative
205.03523,16.468,0.45,0.999999997114815,negative
79.95705,28.673,-0.43,0.999999997115839,negative
195.99222,14.122,0.41,0.999999997152964,negative
269.10291,15.816,-0.08,0.999999997457809,negative
74.99047,28.59,-1.64,0.999999997699096,negative
182.92296,21.013,-0.24,0.999999997724694,negative
175.06111,13.431,-0.09,0.999999997743095,negative
131.0348,13.459,0.14,0.999999997783848,negative
207.66681,4.187,1.02,0.999999997882254,negative
181.01419,1.222,-0.2,0.999999998098909,negative
159.0662,13.73,0.17,0.999999998115753,negative
306.07649,25.91,0.77,0.999999998270239,negative
58.02957,13.033,-0.15,0.999999998395356,negative
139.03992,13.051,0.5,0.999999998396275,negative
75.00845,9.133,1.07,0.999999998460094,negative
60.9934,1.135,0.44,0.999999998476022,negative
194.90573,18.074,0.21,0.999999998487279,negative
219.08729,13.315,0.13,0.999999998555583,negative
155.07124,15.949,-0.11,0.999999998603904,negative
201.07674,13.533,0.14,0.999999998795325,negative
94.98175,11.299,-0.89,0.999999998870992,negative
181.08691,1.223,0.18,0.999999998897385,negative
122.96733,1.062,-0.13,0.999999999246823,negative
196.0251,26.015,0.28,0.999999999303912,negative
159.02982,16.551,0.45,0.999999999358625,negative
259.66281,28.553,0.79,0.99999999939116,negative
243.06209,12.633,-0.24,0.999999999457108,negative
163.02477,13.384,0.35,0.999999999553209,negative
135.02965,13.583,0.16,0.999999999561847,negative
146.84227,25.748,0.48,0.999999999575616,negative
279.03877,12.999,-0.25,0.999999999615506,negative
211.10886,23.758,-0.31,0.999999999622835,negative
123.90183,16.314,0.34,0.999999999652685,negative
259.66261,2.833,0.48,0.999999999700058,negative
202.98205,24.706,-0.3,0.999999999715008,negative
195.90579,18.05,0.18,0.999999999720523,negative
195.9941,4.515,2.17,0.999999999721957,negative
161.04549,16.559,0.46,0.999999999726595,negative
89.02534,8.752,0.65,0.999999999729215,negative
203.65985,23.503,-0.64,0.999999999735665,negative
313.00403,13.377,0.6,0.999999999762449,negative
59.01425,28.731,-5.58,0.999999999771613,negative
93.03426,1.204,-0.18,0.999999999772621,negative
72.9928,13.525,-0.27,0.99999999981758,negative
177.04036,13.178,0.08,0.999999999826934,negative
150.05585,1.222,-0.23,0.999999999843111,negative
132.02999,25.805,-0.55,0.999999999847453,negative
146.04564,28.941,-4.31,0.999999999860732,negative
181.01419,16.197,0.17,0.999999999867606,negative
303.08911,8.84,0.13,0.999999999874206,negative
296.99832,27.961,-0.27,0.999999999875055,negative
73.02919,1.237,0.1,0.99999999987708,negative
69.03423,13.575,0.51,0.999999999881987,negative
158.93447,1.047,0.15,0.999999999901321,negative
183.10258,11.594,0.1,0.999999999909122,negative
197.12956,14.007,0.09,0.999999999918417,negative
139.00348,1.242,-0.34,0.999999999920378,negative
196.02507,16.575,0.5,0.999999999921427,negative
192.33154,18.044,0.95,0.999999999923011,negative
177.04037,13.24,0.31,0.999999999925918,negative
188.49007,23.542,0.73,0.999999999927038,negative
135.04496,16.534,0.14,0.999999999937318,negative
154.99608,13.631,-0.19,0.999999999940283,negative
96.95971,14.376,-0.45,0.9999999999431,negative
192.325,3.304,0.52,0.999999999945364,negative
87.00848,11.04,-0.14,0.999999999946847,negative
221.0018,9.881,-0.27,0.999999999947303,negative
159.06618,13.557,-0.11,0.999999999947573,negative
281.24847,6.013,-0.05,0.999999999949119,negative
157.05056,13.146,0.28,0.999999999950159,negative
140.98612,15.131,0.14,0.99999999995183,negative
145.01411,19.733,-0.93,0.999999999952289,negative
114.99451,20.39,0.41,0.999999999957327,negative
282.49435,15.989,-2.72,0.999999999957804,negative
252.99912,1.039,-0.65,0.999999999959307,negative
101.0241,19.739,-0.92,0.999999999960377,negative
110.02451,27.214,-0.05,0.999999999963389,negative
224.98628,4.715,0.28,0.999999999964713,negative
187.00007,24.796,-0.6,0.999999999964861,negative
221.11823,18.901,-0.17,0.999999999965747,negative
185.0567,1.09,-0.9,0.999999999965791,negative
181.07171,4.606,1.31,0.999999999973257,negative
88.04012,25.899,0.3,0.99999999997471,negative
229.10803,26.596,-0.18,0.999999999976893,negative
248.9994,9.838,0.22,0.999999999977251,negative
283.00111,2.151,0.63,0.999999999978311,negative
180.03017,1.247,0.21,0.999999999978567,negative
78.91858,1.235,-0.6,0.999999999982965,negative
185.65605,1.661,0.35,0.999999999982969,negative
162.0421,26.005,0.52,0.999999999983089,negative
198.33514,15.956,0.32,0.999999999984308,negative
183.10251,1.227,-0.78,0.999999999986195,negative
279.12369,20.595,-0.24,0.999999999989969,negative
191.99356,28.116,-1.4,0.999999999990447,negative
289.99,12.106,0.47,0.999999999990596,negative
112.93702,17.498,0.37,0.999999999991306,negative
171.10269,1.316,0.18,0.999999999991454,negative
222.03357,14.828,0.36,0.999999999992653,negative
215.03263,4.478,-0.42,0.999999999993054,negative
189.99207,4.24,0.91,0.999999999993166,negative
187.65674,10.773,0.23,0.999999999993747,negative
188.98624,22.384,0.17,0.99999999999378,negative
167.0235,21.327,-0.57,0.99999999999428,negative
162.01967,1.198,0.37,0.999999999994944,negative
256.23623,1.261,0.08,0.999999999995341,negative
87.00848,21.788,0.37,0.999999999995385,negative
198.98848,20.206,0.27,0.999999999995613,negative
203.01953,17.787,0.37,0.999999999996196,negative
128.91422,19.068,0.19,0.999999999996644,negative
239.05931,1.28,0.5,0.999999999996767,negative
146.0457,28.873,-7.52,0.999999999996852,negative
181.01419,18.113,-0.13,0.999999999997043,negative
174.04071,13.05,0.23,1,negative
114.01936,13.034,0.21,1,negative
